----------
Target: 1496673325239,0,0.6,15
1,1496673330569,-0.161767,2.462991,0.1352058
1,1496673330580,-0.161658,2.487505,0.2302714
1,1496673330591,-0.1615491,2.510808,0.325337
1,1496673330602,-0.1614402,2.532899,0.4204026
1,1496673330613,-0.1613313,2.55378,0.5154682
1,1496673330625,-0.1612224,2.573449,0.6105338
1,1496673330636,-0.1611135,2.591908,0.7055994
1,1496673330647,-0.1610046,2.609155,0.800665
1,1496673330658,-0.1608957,2.625191,0.8957306
1,1496673330669,-0.1607867,2.640016,0.9907962
1,1496673330681,-0.1606778,2.65363,1.085862
1,1496673330692,-0.1605689,2.666032,1.180927
1,1496673330703,-0.16046,2.677224,1.275993
1,1496673330714,-0.1603511,2.687204,1.371059
1,1496673330725,-0.1602422,2.695974,1.466124
1,1496673330736,-0.1601333,2.703532,1.56119
1,1496673330747,-0.1600244,2.709879,1.656255
1,1496673330759,-0.1599154,2.715015,1.751321
1,1496673330770,-0.1598065,2.71894,1.846387
1,1496673330781,-0.1596976,2.721654,1.941452
1,1496673330792,-0.1595887,2.723157,2.036518
1,1496673330803,-0.1594798,2.723449,2.131583
1,1496673330814,-0.1593709,2.722529,2.226649
1,1496673330826,-0.159262,2.720399,2.321715
1,1496673330837,-0.1591531,2.717057,2.41678
1,1496673330848,-0.1590441,2.712504,2.511846
1,1496673330859,-0.1589352,2.70674,2.606911
1,1496673330870,-0.1588263,2.699765,2.701977
1,1496673330881,-0.1587174,2.691579,2.797043
1,1496673330893,-0.1586085,2.682182,2.892108
1,1496673330904,-0.1584996,2.671573,2.987174
1,1496673330915,-0.1583907,2.659754,3.082239
1,1496673330926,-0.1581728,2.632482,3.272371
1,1496673330937,-0.1580639,2.617029,3.367436
1,1496673330948,-0.157955,2.600365,3.462502
1,1496673330960,-0.1578461,2.58249,3.557567
1,1496673330971,-0.1577372,2.563404,3.652633
1,1496673330982,-0.1576283,2.543107,3.747699
1,1496673330993,-0.1575194,2.521598,3.842764
1,1496673331004,-0.1574105,2.498879,3.93783
1,1496673331016,-0.1573015,2.474948,4.032896
1,1496673331027,-0.1571926,2.449807,4.127961
1,1496673331038,-0.1570837,2.423454,4.223027
1,1496673331049,-0.1569748,2.39589,4.318092
1,1496673331060,-0.1568659,2.367115,4.413158
1,1496673331071,-0.156757,2.337129,4.508224
1,1496673331082,-0.1566481,2.305932,4.603289
1,1496673331094,-0.1565392,2.273523,4.698355
1,1496673331105,-0.1564302,2.239904,4.79342
1,1496673331116,-0.1563213,2.205073,4.888486
1,1496673331127,-0.1562124,2.169032,4.983552
1,1496673331138,-0.1561035,2.131779,5.078617
1,1496673331150,-0.1559946,2.093315,5.173683
1,1496673331161,-0.1558857,2.05364,5.268748
1,1496673331172,-0.1557768,2.012754,5.363814
1,1496673331183,-0.1556679,1.970657,5.458879
1,1496673331194,-0.1555589,1.927348,5.553945
